ear,mar,label
0.2712679068174464,0.30384953246614016,0
0.2499596586031349,0.3483072085557843,0
0.3145575852088337,0.2915395195183877,0
0.3356417615777163,0.29552465891866114,0
0.2049844589036735,0.37199303689235913,0
0.27918104674507194,0.35806491131730395,0
0.3422818199035005,0.30435503071360187,0
0.34968015994252144,0.32337771723452347,0
0.24768217316026073,0.4210659517948718,0
0.27033693633114275,0.430062432269697,0
0.3333515164081686,0.33848700101437224,0
0.33741403643826906,0.41567247803441953,0
0.3092566229646317,0.27270312464373725,0
0.28496791794703324,0.2866906626028611,0
0.3509028363379712,0.28444659942609496,0
0.383893592746092,0.28904801819313886,0
0.34243126468994955,0.3209989781866833,0
0.347543151755061,0.3293944434477849,0
0.363860649211667,0.405092474472247,0
0.3353935963588002,0.31147831220140054,0
0.2924742688984882,0.36485501127292,0
0.2981148998321995,0.32235780667051256,1
0.33769679597102764,0.3591294548084622,0
0.28283873558633665,0.3584211601622897,0
0.2778039955663948,0.3461109740408561,0
0.30085492657295104,0.32662877701914805,0
0.2984981231699907,0.33195057990349497,0
0.3095122971127136,0.32312146584497536,0
0.34052264800372856,0.39269925138098555,0
0.31313399429784583,0.31319513227950174,0
0.366331364079987,0.3838434772682865,0
0.3582541416398004,0.3642018826599866,1
0.3688044836793487,0.3993960605003286,1
0.40385403212843785,0.355068472793,1
0.3774950610814693,0.4073882150275825,0
0.30709888826695586,0.4662506574165709,0
0.37996401132414104,0.46229530783623324,0
0.319388308225379,0.46187908775045655,0
0.4238947242653056,0.4839459821028036,1
0.3699586126716521,0.4597439104633355,1
0.3107626358178914,0.46468250979604847,0
0.37002741424836527,0.37042509206542695,0
0.4181920267358411,0.5341209001835068,0
0.3505150271782862,0.4500929075077076,1
0.3908662469109622,0.4340347045083395,0
0.3093002803682733,0.4934185073339295,1
0.32812619768215046,0.49031726413220167,0
0.34338168896063115,0.4162517750779148,0
0.36293907624925004,0.38412376513542185,0
0.33508471891619485,0.4185645792433308,0
0.35720881926860004,0.37945765897630734,0
0.3377683128563721,0.43861479767521994,0
0.2773343142656245,0.4620169629241458,0
0.379735813711662,0.39554752308351904,0
0.2958887286463521,0.420189326965728,0
0.32626445055107145,0.477366184697359,0
0.3392818032224163,0.4636477421308275,0
0.34804277902526615,0.4618038121126957,0
0.33103469979529704,0.48789840748295105,1
0.2770526401170009,0.5372558216435984,0
0.29036511732585324,0.49064521932603633,0
0.28126168221072456,0.4541012332188553,1
0.28668759294368146,0.42678876660705395,1
0.3034843531059772,0.40588363336227773,0
0.34753493987946005,0.37501260403617004,0
0.33196520207188146,0.4302973077475442,0
0.3732367052541402,0.42197199838638205,0
0.33014502673730883,0.38288630504820004,0
0.3675926891998973,0.3928507603646692,0
0.3666819599607024,0.41551473877564127,0
0.33609421150625673,0.44415658436060335,0
0.3675775580872134,0.41177777400501475,0
0.36499720662584156,0.4364705982627557,0
0.35972077746942693,0.4002308321171015,1
0.398489528333215,0.4077721990749752,0
0.3387876038919299,0.4043323247062195,0
0.35965217706065244,0.3967474033245827,0
0.35181156671606306,0.39808201711527164,0
0.3263811264515065,0.3052126393377275,0
0.34082138233202813,0.4415297667983615,0
0.3603047603389815,0.40650852818022043,0
0.3269842679356534,0.45663571361362026,0
0.3381113860288355,0.39467071688517447,0
0.34847533273780085,0.3912544587199992,0
0.3533129542797889,0.44332111005645164,0
0.3532149102758564,0.39954224979413383,0
0.3453760339309616,0.4051336222006648,0
0.34334725553328205,0.42985046685371736,0
0.33583614726578365,0.4026928709301558,0
0.3592799854939552,0.41048052854741807,1
0.3242622390213751,0.41016912431297947,0
0.3361540848831035,0.4373645653788044,1
0.3177067451479246,0.4241317706927815,0
0.33789470427885726,0.4074247715793963,0
0.3415299899305658,0.42137024735200174,0
0.3360950064840129,0.40336372176648005,0
0.32899817831906464,0.39255940275051104,0
0.354542488474318,0.3907624147830993,1
0.32415593780001467,0.44095611804516854,1
0.3269360089124404,0.41612533630940135,1
0.36204730242283983,0.49940082196349767,0
0.3337895030703846,0.45377223145656637,0
0.3657750680195271,0.4399603293851254,0
0.329558643074089,0.43899487599602705,0
0.32616319798759236,0.44625604098530913,0
0.34311601843642464,0.4103641199261022,0
0.3388148298753447,0.41862586858138184,0
0.35417491353299513,0.42237498115891614,1
0.32680918861245123,0.4066145861936775,1
0.3619051870254075,0.42790923117104274,0
0.35668844410097367,0.4450000269529403,0
0.34016028752753213,0.44178197146464276,1
0.35955280582819416,0.46465861243493434,1
0.3398188219954606,0.4046237518228424,0
0.3540188824867733,0.41620249975616896,0
0.3432332436481065,0.41689410614546935,0
0.3428255192603602,0.4105986613850672,0
0.31043341204288244,0.4067430101469506,0
0.3497997908805017,0.4136592780733021,0
0.3564075892905373,0.39645931974934584,1
0.35270758536223246,0.41166290344698425,1
0.34385120586898027,0.48357377513537886,0
0.33428272057132946,0.46812896059272496,0
0.3556483368489737,0.46529134546767836,0
0.338982358911325,0.45923872027459967,0
0.35785425272658233,0.42764534566659823,0
0.3063430312948413,0.4642347582286182,0
